Country,Year,Number of Visitors
China,2019,128280
China,2023,58790
China,2024,78550
China,2025,98720
Hong Kong,2019,33800
Hong Kong,2023,19580
Hong Kong,2024,20150
Hong Kong,2025,30950
India,2019,33310
India,2023,30250
India,2024,34460
India,2025,35500
Japan,2019,63070
Japan,2023,43550
Japan,2024,54420
Japan,2025,60610
South Korea,2019,20960
South Korea,2023,30000
South Korea,2024,36140
South Korea,2025,37000
New Zealand,2019,124710
New Zealand,2023,105050
New Zealand,2024,112780
New Zealand,2025,114660
Singapore,2019,44210
Singapore,2023,31330
Singapore,2024,41280
Singapore,2025,41690
Taiwan,2019,20850
Taiwan,2023,14000
Taiwan,2024,18240
Taiwan,2025,24820
UK,2019,36130
UK,2023,31400
UK,2024,34770
UK,2025,38600
USA,2019,51980
USA,2023,48240
USA,2024,41070
USA,2025,48120
,,
,,
