Countries,Share of GDP from tourism(%)
Albania,3.217578
Algeria,1.7
Antigua and Barbuda,10.695942
Argentina,1.8397866
Australia,3.1
Austria,5.198377
Azerbaijan,3.7
Bahrain,6.129361
Bangladesh,3.02
Belarus,2.4975553
Belgium,1.8550044
Bermuda,5.3
Botswana,5.1
Brunei,0.83
Cameroon,5.06
Canada,2.0902102
Chile,3.2959533
Colombia,2.55753
Costa Rica,4.6541758
Cote d'Ivoire,6.25
Croatia,11.82341
Czechia,2.8794243
Denmark,2.2581284
Ecuador,2.31
Egypt,1.62
El Salvador,3.516774
Equatorial Guinea,5.7699327
Estonia,5.4
Eswatini,1.1834607
Fiji,12.6
Finland,2.6992657
Finland,1.4
France,4.029747
French Polynesia,7.3
Germany,3.984067
Greece,6.9321012
Guam,22
Guyana,1.4
Honduras,6
Hong Kong,4.462326
Hungary,3.042924
Iceland,8.089224
India,2.6051848
Indonesia,4.9121866
Israel,2.64084
Italy,5.7128034
Jamaica,9.2
Japan,1.9
Kazakhstan,1.3585516
Kiribati,0.69
Latvia,4.9
Lebanon,3
Lithuania,2.9483683
Luxembourg,1.2506856
Macao,52.26366
Malawi,3.4
Malaysia,6.5325317
Marshall Islands,2.3
Martinique,5.3
Mauritius,9.3
Mexico,8.53957
Micronesia (country),1.7882746
Moldova,0.56154037
Mongolia,0.15283415
Montserrat,2.24
Morocco,6.933536
Mozambique,4.65
Nepal,1.9603947
Netherlands,4.370286
New Zealand,5.8
Nigeria,5.44
Norway,3.8
Oman,2.6623282
Palau,19.974857
Palestine,2.5062194
Paraguay,2.28
Peru,3.9
Philippines,12.258074
Poland,2.1
Portugal,8
Puerto Rico,2.9101808
Qatar,3.1690052
Romania,2.9089808
Russia,2.7
Rwanda,3.44
Sierra Leone,4.1
Slovakia,2.74
South Africa,2.759353
Spain,6.7
Sri Lanka,3.34
Sweden,2.5982895
Switzerland,2.893352
Tajikistan,3.7743456
Thailand,7.4024935
Tunisia,4.139818
United Kingdom,3.2381542
Uruguay,8.1
Vietnam,8.39
